Date,Adj Close,Close,High,Low,Open,Volume
2023-08-30,50.0,50.0,50.0,50.0,50.0,6000
2023-08-31,50.0,50.0,50.0,50.0,50.0,2000
2023-09-01,50.0,50.0,50.0,50.0,50.0,3600
2023-09-04,50.0,50.0,50.0,50.0,50.0,100
2023-09-05,50.0,50.0,50.0,50.0,50.0,1000
2023-09-06,50.0,50.0,50.0,50.0,50.0,11400
2023-09-07,50.0,50.0,50.0,50.0,50.0,1000
2023-09-08,50.0,50.0,50.0,50.0,50.0,1000
2023-09-11,50.0,50.0,50.0,50.0,50.0,2300
2023-09-12,50.0,50.0,50.0,50.0,50.0,1500
2023-09-13,50.0,50.0,50.0,50.0,50.0,0
2023-09-14,50.0,50.0,50.0,50.0,50.0,30500
2023-09-15,50.0,50.0,50.0,50.0,50.0,1000
2023-09-18,50.0,50.0,50.0,50.0,50.0,4800
2023-09-19,50.0,50.0,50.0,50.0,50.0,0
2023-09-20,50.0,50.0,50.0,50.0,50.0,11000
2023-09-21,50.0,50.0,50.0,50.0,50.0,100
2023-09-22,50.0,50.0,50.0,50.0,50.0,22000
2023-09-25,50.0,50.0,50.0,50.0,50.0,1000
2023-09-26,50.0,50.0,50.0,50.0,50.0,11100
2023-09-27,50.0,50.0,50.0,50.0,50.0,4200
2023-09-29,50.0,50.0,50.0,50.0,50.0,100
2023-10-02,50.0,50.0,50.0,50.0,50.0,1400
2023-10-03,50.0,50.0,50.0,50.0,50.0,1700
2023-10-04,50.0,50.0,50.0,50.0,50.0,0
2023-10-05,50.0,50.0,50.0,50.0,50.0,1000
2023-10-06,50.0,50.0,50.0,50.0,50.0,2500
2023-10-09,50.0,50.0,50.0,50.0,50.0,1000
2023-10-10,50.0,50.0,50.0,50.0,50.0,8000
2023-10-11,50.0,50.0,50.0,50.0,50.0,1000
2023-10-12,50.0,50.0,50.0,50.0,50.0,1000
2023-10-13,50.0,50.0,50.0,50.0,50.0,1300
2023-10-16,50.0,50.0,50.0,50.0,50.0,1000
2023-10-17,50.0,50.0,50.0,50.0,50.0,8500
2023-10-18,50.0,50.0,50.0,50.0,50.0,500
2023-10-19,50.0,50.0,50.0,50.0,50.0,1000
2023-10-20,50.0,50.0,50.0,50.0,50.0,1100
2023-10-23,50.0,50.0,50.0,50.0,50.0,0
2023-10-24,50.0,50.0,50.0,50.0,50.0,1100
2023-10-25,50.0,50.0,50.0,50.0,50.0,1200
2023-10-26,50.0,50.0,50.0,50.0,50.0,1400
2023-10-27,50.0,50.0,50.0,50.0,50.0,200
2023-10-30,50.0,50.0,50.0,50.0,50.0,2500
2023-10-31,50.0,50.0,50.0,50.0,50.0,1100
2023-11-01,50.0,50.0,50.0,50.0,50.0,9900
2023-11-02,50.0,50.0,50.0,50.0,50.0,1600
2023-11-03,50.0,50.0,50.0,50.0,50.0,3300
2023-11-06,50.0,50.0,50.0,50.0,50.0,10000
2023-11-07,50.0,50.0,50.0,50.0,50.0,2700
2023-11-08,50.0,50.0,50.0,50.0,50.0,4900
2023-11-09,50.0,50.0,50.0,50.0,50.0,1800
2023-11-10,50.0,50.0,50.0,50.0,50.0,1800
2023-11-13,50.0,50.0,50.0,50.0,50.0,1100
2023-11-14,50.0,50.0,50.0,50.0,50.0,100
2023-11-15,50.0,50.0,50.0,50.0,50.0,1200
2023-11-16,50.0,50.0,50.0,50.0,50.0,2600
2023-11-17,50.0,50.0,50.0,50.0,50.0,4600
2023-11-20,50.0,50.0,50.0,50.0,50.0,8300
2023-11-21,50.0,50.0,50.0,50.0,50.0,1100
2023-11-22,50.0,50.0,50.0,50.0,50.0,3300
2023-11-23,50.0,50.0,50.0,50.0,50.0,11100
2023-11-24,50.0,50.0,50.0,50.0,50.0,10400
2023-11-27,50.0,50.0,50.0,50.0,50.0,11300
2023-11-28,50.0,50.0,50.0,50.0,50.0,2600
2023-11-29,50.0,50.0,50.0,50.0,50.0,3100
2023-11-30,50.0,50.0,50.0,50.0,50.0,416600
2023-12-01,50.0,50.0,50.0,50.0,50.0,4100
2023-12-04,50.0,50.0,50.0,50.0,50.0,1000
2023-12-05,50.0,50.0,50.0,50.0,50.0,4400
2023-12-06,50.0,50.0,50.0,50.0,50.0,1000
2023-12-07,50.0,50.0,50.0,50.0,50.0,2300
2023-12-08,50.0,50.0,50.0,50.0,50.0,1800
2023-12-11,50.0,50.0,50.0,50.0,50.0,0
2023-12-12,50.0,50.0,50.0,50.0,50.0,51000
2023-12-13,50.0,50.0,50.0,50.0,50.0,0
2023-12-14,50.0,50.0,50.0,50.0,50.0,0
2023-12-15,50.0,50.0,50.0,50.0,50.0,700
2023-12-18,50.0,50.0,50.0,50.0,50.0,200
2023-12-19,50.0,50.0,50.0,50.0,50.0,1100
2023-12-20,50.0,50.0,50.0,50.0,50.0,0
2023-12-21,50.0,50.0,50.0,50.0,50.0,1100
2023-12-22,50.0,50.0,50.0,50.0,50.0,0
2023-12-27,50.0,50.0,50.0,50.0,50.0,3700
2023-12-28,50.0,50.0,50.0,50.0,50.0,2000
2023-12-29,50.0,50.0,50.0,50.0,50.0,1100
2024-01-02,50.0,50.0,50.0,50.0,50.0,1100
2024-01-03,50.0,50.0,50.0,50.0,50.0,3000
2024-01-04,50.0,50.0,50.0,50.0,50.0,900
2024-01-05,50.0,50.0,50.0,50.0,50.0,48400
2024-01-08,50.0,50.0,50.0,50.0,50.0,1300
2024-01-09,50.0,50.0,50.0,50.0,50.0,31900
2024-01-10,50.0,50.0,50.0,50.0,50.0,3100
2024-01-11,50.0,50.0,50.0,50.0,50.0,6200
2024-01-12,50.0,50.0,50.0,50.0,50.0,3000
2024-01-15,50.0,50.0,50.0,50.0,50.0,80700
2024-01-16,50.0,50.0,50.0,50.0,50.0,400
2024-01-17,50.0,50.0,50.0,50.0,50.0,100
