Date,Adj Close,Close,High,Low,Open,Volume
2022-08-04,50.0,50.0,50.0,50.0,50.0,4300
2022-08-05,50.0,50.0,50.0,50.0,50.0,200
2022-08-08,50.0,50.0,50.0,50.0,50.0,9500
2022-08-09,50.0,50.0,50.0,50.0,50.0,200
2022-08-10,50.0,50.0,50.0,50.0,50.0,108000
2022-08-11,50.0,50.0,50.0,50.0,50.0,100
2022-08-12,50.0,50.0,50.0,50.0,50.0,100
2022-08-15,50.0,50.0,50.0,50.0,50.0,61200
2022-08-16,50.0,50.0,50.0,50.0,50.0,164600
2022-08-18,50.0,50.0,50.0,50.0,50.0,204600
2022-08-19,50.0,50.0,50.0,50.0,50.0,15200
2022-08-22,50.0,50.0,50.0,50.0,50.0,522300
2022-08-23,50.0,50.0,50.0,50.0,50.0,251300
2022-08-24,50.0,50.0,50.0,50.0,50.0,166000
2022-08-25,50.0,50.0,50.0,50.0,50.0,108800
2022-08-26,50.0,50.0,50.0,50.0,50.0,67700
2022-08-29,50.0,50.0,50.0,50.0,50.0,135600
2022-08-30,50.0,50.0,50.0,50.0,50.0,277500
2022-08-31,50.0,50.0,50.0,50.0,50.0,186800
2022-09-01,50.0,50.0,50.0,50.0,50.0,118700
2022-09-02,50.0,50.0,50.0,50.0,50.0,81000
2022-09-05,50.0,50.0,50.0,50.0,50.0,6000
2022-09-06,50.0,50.0,50.0,50.0,50.0,21600
2022-09-07,50.0,50.0,50.0,50.0,50.0,12600
2022-09-08,50.0,50.0,50.0,50.0,50.0,28500
2022-09-09,50.0,50.0,50.0,50.0,50.0,173200
2022-09-12,50.0,50.0,50.0,50.0,50.0,211500
2022-09-13,50.0,50.0,50.0,50.0,50.0,95000
2022-09-14,50.0,50.0,50.0,50.0,50.0,7900
2022-09-15,50.0,50.0,50.0,50.0,50.0,28300
2022-09-16,50.0,50.0,50.0,50.0,50.0,24700
2022-09-19,50.0,50.0,50.0,50.0,50.0,62400
2022-09-20,50.0,50.0,50.0,50.0,50.0,1000
2022-09-21,50.0,50.0,50.0,50.0,50.0,5000
2022-09-22,50.0,50.0,50.0,50.0,50.0,700
2022-09-23,50.0,50.0,50.0,50.0,50.0,15300
2022-09-26,50.0,50.0,50.0,50.0,50.0,352000
2022-09-27,50.0,50.0,50.0,50.0,50.0,51000
2022-09-28,50.0,50.0,50.0,50.0,50.0,100
2022-09-29,50.0,50.0,50.0,50.0,50.0,50500
2022-09-30,50.0,50.0,50.0,50.0,50.0,600
2022-10-03,50.0,50.0,50.0,50.0,50.0,119200
2022-10-04,50.0,50.0,50.0,50.0,50.0,200
2022-10-05,50.0,50.0,50.0,50.0,50.0,107500
2022-10-06,50.0,50.0,50.0,50.0,50.0,111700
2022-10-07,50.0,50.0,50.0,50.0,50.0,5600
2022-10-10,50.0,50.0,50.0,50.0,50.0,17700
2022-10-11,50.0,50.0,50.0,50.0,50.0,2500
2022-10-12,50.0,50.0,50.0,50.0,50.0,540200
2022-10-13,50.0,50.0,50.0,50.0,50.0,61000
2022-10-14,50.0,50.0,50.0,50.0,50.0,300
2022-10-17,50.0,50.0,50.0,50.0,50.0,2800
2022-10-18,50.0,50.0,50.0,50.0,50.0,1200
2022-10-19,50.0,50.0,50.0,50.0,50.0,1000
2022-10-20,50.0,50.0,50.0,50.0,50.0,101200
2022-10-21,50.0,50.0,50.0,50.0,50.0,210600
2022-10-24,50.0,50.0,50.0,50.0,50.0,156000
2022-10-25,50.0,50.0,50.0,50.0,50.0,10800
